Round,Calendar_Week_Num,Day_ID,Date,Date_time,Home_Team_ID,Away_Team_ID,Venue_Stadium_ID,Travel_km,Slot_tier,Match_Tier,Postponed
1,1,D_20260802,2026-08-02,2026-08-02 22:00:00,PYR,ENP,30_JUNE,15.0,2,2,False
1,1,D_20260803,2026-08-03,2026-08-03 17:00:00,SMO,PET,BORG_ARAB,195.0,3,3,False
1,1,D_20260804,2026-08-04,2026-08-04 17:00:00,ITH,HAR,ALEX_STADIUM,15.0,3,3,False
1,1,D_20260805,2026-08-05,2026-08-05 17:00:00,CER,PHA,SUEZ_CANAL,290.0,3,3,False
1,1,D_20260805,2026-08-05,2026-08-05 20:00:00,AHL,TLG,CAIRO_INTL,15.0,2,2,False
1,1,D_20260806,2026-08-06,2026-08-06 22:00:00,ISM,BNK,ISMAILIA_ST,110.0,2,2,False
1,1,D_20260806,2026-08-06,2026-08-06 17:00:00,MOD,MAH,AL_SALAM,130.0,3,3,False
1,1,D_20260806,2026-08-06,2026-08-06 20:00:00,ZAM,GOU,CAIRO_INTL,440.0,2,2,False
1,1,D_20260808,2026-08-08,2026-08-08 17:00:00,ZED,MAS,CAIRO_INTL,125.0,2,2,False
2,2,D_20260810,2026-08-10,2026-08-10 17:00:00,PHA,MOD,BORG_ARAB,195.0,3,3,False
2,2,D_20260810,2026-08-10,2026-08-10 20:00:00,HAR,ZAM,HARAS,210.0,2,2,False
2,2,D_20260811,2026-08-11,2026-08-11 17:00:00,TLG,ISM,GEHAZ_REYADA,135.0,3,3,False
2,2,D_20260812,2026-08-12,2026-08-12 20:00:00,BNK,CER,CAIRO_INTL,110.0,2,2,False
2,2,D_20260812,2026-08-12,2026-08-12 17:00:00,GOU,ZED,EL_GOUNA,440.0,3,3,False
2,2,D_20260812,2026-08-12,2026-08-12 17:00:00,PET,ITH,PETRO_SPORT,235.0,3,3,False
2,2,D_20260813,2026-08-13,2026-08-13 22:00:00,MAH,PYR,MAHALLA,130.0,2,2,False
2,2,D_20260813,2026-08-13,2026-08-13 17:00:00,ENP,SMO,PETRO_SPORT,195.0,3,3,False
2,2,D_20260814,2026-08-14,2026-08-14 20:00:00,MAS,AHL,BORG_ARAB,170.0,1,1,False
3,3,D_20260817,2026-08-17,2026-08-17 17:00:00,TLG,BNK,GEHAZ_REYADA,15.0,3,3,False
3,3,D_20260817,2026-08-17,2026-08-17 17:00:00,ZED,HAR,CAIRO_INTL,210.0,3,3,False
3,3,D_20260817,2026-08-17,2026-08-17 20:00:00,PET,ZAM,PETRO_SPORT,15.0,2,2,False
3,3,D_20260818,2026-08-18,2026-08-18 17:00:00,SMO,MAH,BORG_ARAB,285.0,3,3,False
3,3,D_20260818,2026-08-18,2026-08-18 17:00:00,ITH,ENP,ALEX_STADIUM,235.0,3,3,False
3,3,D_20260819,2026-08-19,2026-08-19 22:00:00,MOD,CER,AL_SALAM,135.0,2,2,False
3,3,D_20260819,2026-08-19,2026-08-19 22:00:00,ISM,MAS,BORG_ARAB,305.0,2,2,False
3,3,D_20260819,2026-08-19,2026-08-19 20:00:00,PYR,PHA,30_JUNE,195.0,2,2,False
3,3,D_20260821,2026-08-21,2026-08-21 17:00:00,AHL,GOU,CAIRO_INTL,440.0,2,2,False
4,4,D_20260823,2026-08-23,2026-08-23 17:00:00,PHA,SMO,BORG_ARAB,0.0,3,3,False
4,4,D_20260823,2026-08-23,2026-08-23 17:00:00,MAH,ITH,MAHALLA,130.0,3,3,False
4,4,D_20260823,2026-08-23,2026-08-23 20:00:00,ZAM,ENP,CAIRO_INTL,15.0,2,2,False
4,4,D_20260824,2026-08-24,2026-08-24 20:00:00,MOD,BNK,AL_SALAM,15.0,2,2,False
4,4,D_20260824,2026-08-24,2026-08-24 17:00:00,MAS,TLG,SUEZ_ST,150.0,3,3,False
4,4,D_20260824,2026-08-24,2026-08-24 22:00:00,CER,PYR,SUEZ_CANAL,135.0,2,1,False
4,4,D_20260826,2026-08-26,2026-08-26 17:00:00,GOU,ISM,EL_GOUNA,560.0,3,3,False
4,4,D_20260826,2026-08-26,2026-08-26 20:00:00,HAR,AHL,HARAS,210.0,2,2,False
4,4,D_20260826,2026-08-26,2026-08-26 17:00:00,ZED,PET,CAIRO_INTL,15.0,3,3,False
5,4,D_20260827,2026-08-27,2026-08-27 17:00:00,ITH,PHA,ALEX_STADIUM,55.0,3,3,False
5,4,D_20260827,2026-08-27,2026-08-27 20:00:00,ZAM,MAH,CAIRO_INTL,105.0,2,2,False
5,4,D_20260828,2026-08-28,2026-08-28 17:00:00,BNK,MAS,CAIRO_INTL,125.0,2,2,False
5,4,D_20260828,2026-08-28,2026-08-28 20:00:00,PYR,MOD,30_JUNE,15.0,1,1,False
5,5,D_20260830,2026-08-30,2026-08-30 17:00:00,GOU,TLG,EL_GOUNA,465.0,3,3,False
5,5,D_20260830,2026-08-30,2026-08-30 17:00:00,ISM,HAR,ISMAILIA_ST,330.0,3,3,False
5,5,D_20260830,2026-08-30,2026-08-30 20:00:00,AHL,PET,CAIRO_INTL,15.0,2,2,False
5,5,D_20260831,2026-08-31,2026-08-31 22:00:00,SMO,CER,BORG_ARAB,290.0,2,2,False
5,5,D_20260831,2026-08-31,2026-08-31 17:00:00,ENP,ZED,PETRO_SPORT,15.0,3,3,False
6,5,D_20260901,2026-09-01,2026-09-01 20:00:00,PYR,BNK,30_JUNE,15.0,2,1,False
6,5,D_20260901,2026-09-01,2026-09-01 22:00:00,PHA,ZAM,BORG_ARAB,170.0,2,2,False
6,6,D_20260911,2026-09-11,2026-09-11 17:00:00,MAS,GOU,SUEZ_ST,575.0,2,3,False
6,6,D_20260911,2026-09-11,2026-09-11 17:00:00,ENP,AHL,PETRO_SPORT,15.0,2,2,False
6,7,D_20260913,2026-09-13,2026-09-13 17:00:00,TLG,HAR,GEHAZ_REYADA,235.0,3,3,False
6,7,D_20260915,2026-09-15,2026-09-15 20:00:00,MOD,SMO,AL_SALAM,195.0,2,2,False
6,7,D_20260916,2026-09-16,2026-09-16 20:00:00,CER,ITH,SUEZ_CANAL,330.0,2,2,False
6,7,D_20260917,2026-09-17,2026-09-17 17:00:00,PET,ISM,PETRO_SPORT,135.0,3,3,False
6,7,D_20260917,2026-09-17,2026-09-17 17:00:00,ZED,MAH,CAIRO_INTL,105.0,3,3,False
7,8,D_20260920,2026-09-20,2026-09-20 22:00:00,ITH,MOD,ALEX_STADIUM,235.0,2,2,False
7,8,D_20260921,2026-09-21,2026-09-21 17:00:00,TLG,PET,GEHAZ_REYADA,15.0,3,3,False
7,8,D_20260921,2026-09-21,2026-09-21 17:00:00,ISM,ENP,ISMAILIA_ST,135.0,3,3,False
7,8,D_20260922,2026-09-22,2026-09-22 17:00:00,BNK,GOU,CAIRO_INTL,440.0,3,3,False
7,8,D_20260924,2026-09-24,2026-09-24 17:00:00,PHA,ZED,BORG_ARAB,170.0,3,3,False
7,8,D_20260925,2026-09-25,2026-09-25 20:00:00,CER,ZAM,SUEZ_CANAL,110.0,1,1,False
