match_idx,round,home_team,away_team,venue,match_tier
0,1,ISM,BNK,ISMAILIA_ST,2
1,1,CER,PHA,SUEZ_CANAL,3
2,1,AHL,TLG,CAIRO_INTL,2
3,1,MOD,MAH,AL_SALAM,3
4,1,ZED,MAS,CAIRO_INTL,2
5,1,PYR,ENP,30_JUNE,2
6,1,ZAM,GOU,CAIRO_INTL,2
7,1,SMO,PET,BORG_ARAB,3
8,1,ITH,HAR,ALEX_STADIUM,3
9,2,BNK,CER,CAIRO_INTL,2
10,2,TLG,ISM,GEHAZ_REYADA,3
11,2,PHA,MOD,BORG_ARAB,3
12,2,MAS,AHL,BORG_ARAB,1
13,2,MAH,PYR,MAHALLA,2
14,2,GOU,ZED,EL_GOUNA,3
15,2,ENP,SMO,PETRO_SPORT,3
16,2,HAR,ZAM,HARAS,2
17,2,PET,ITH,PETRO_SPORT,3
18,3,TLG,BNK,GEHAZ_REYADA,3
19,3,MOD,CER,AL_SALAM,2
20,3,ISM,MAS,BORG_ARAB,2
21,3,PYR,PHA,30_JUNE,2
22,3,AHL,GOU,CAIRO_INTL,2
23,3,SMO,MAH,BORG_ARAB,3
24,3,ZED,HAR,CAIRO_INTL,3
25,3,ITH,ENP,ALEX_STADIUM,3
26,3,PET,ZAM,PETRO_SPORT,2
27,4,MOD,BNK,AL_SALAM,2
28,4,MAS,TLG,SUEZ_ST,3
29,4,CER,PYR,SUEZ_CANAL,1
30,4,GOU,ISM,EL_GOUNA,3
31,4,PHA,SMO,BORG_ARAB,3
32,4,HAR,AHL,HARAS,2
33,4,MAH,ITH,MAHALLA,3
34,4,ZED,PET,CAIRO_INTL,3
35,4,ZAM,ENP,CAIRO_INTL,2
36,5,BNK,MAS,CAIRO_INTL,2
37,5,PYR,MOD,30_JUNE,1
38,5,GOU,TLG,EL_GOUNA,3
39,5,SMO,CER,BORG_ARAB,2
40,5,ISM,HAR,ISMAILIA_ST,3
41,5,ITH,PHA,ALEX_STADIUM,3
42,5,AHL,PET,CAIRO_INTL,2
43,5,ZAM,MAH,CAIRO_INTL,2
44,5,ENP,ZED,PETRO_SPORT,3
45,6,PYR,BNK,30_JUNE,1
46,6,MAS,GOU,SUEZ_ST,3
47,6,MOD,SMO,AL_SALAM,2
48,6,TLG,HAR,GEHAZ_REYADA,3
49,6,CER,ITH,SUEZ_CANAL,2
50,6,PET,ISM,PETRO_SPORT,3
51,6,PHA,ZAM,BORG_ARAB,2
52,6,ENP,AHL,PETRO_SPORT,2
53,6,ZED,MAH,CAIRO_INTL,3
54,7,BNK,GOU,CAIRO_INTL,3
55,7,SMO,PYR,BORG_ARAB,1
56,7,HAR,MAS,HARAS,3
57,7,ITH,MOD,ALEX_STADIUM,2
58,7,TLG,PET,GEHAZ_REYADA,3
59,7,CER,ZAM,SUEZ_CANAL,1
60,7,ISM,ENP,ISMAILIA_ST,3
61,7,PHA,ZED,BORG_ARAB,3
62,7,MAH,AHL,MAHALLA,2
63,8,BNK,SMO,CAIRO_INTL,2
64,8,GOU,HAR,EL_GOUNA,3
65,8,ITH,PYR,ALEX_STADIUM,1
66,8,PET,MAS,PETRO_SPORT,3
67,8,ZAM,MOD,CAIRO_INTL,1
68,8,ENP,TLG,PETRO_SPORT,3
69,8,ZED,CER,CAIRO_INTL,2
70,8,ISM,MAH,ISMAILIA_ST,3
71,8,AHL,PHA,CAIRO_INTL,2
72,9,HAR,BNK,HARAS,3
73,9,SMO,ITH,BORG_ARAB,2
74,9,PET,GOU,PETRO_SPORT,3
75,9,PYR,ZAM,30_JUNE,1
76,9,MAS,ENP,SUEZ_ST,3
77,9,MOD,ZED,AL_SALAM,2
78,9,MAH,TLG,MAHALLA,3
79,9,AHL,CER,CAIRO_INTL,1
80,9,PHA,ISM,BORG_ARAB,3
81,10,BNK,ITH,CAIRO_INTL,2
82,10,HAR,PET,HARAS,3
83,10,ZAM,SMO,CAIRO_INTL,1
84,10,GOU,ENP,EL_GOUNA,3
85,10,PYR,ZED,30_JUNE,1
86,10,MAS,MAH,SUEZ_ST,3
87,10,MOD,AHL,AL_SALAM,1
88,10,TLG,PHA,GEHAZ_REYADA,3
89,10,CER,ISM,SUEZ_CANAL,2
90,11,PET,BNK,PETRO_SPORT,3
91,11,ITH,ZAM,ALEX_STADIUM,1
92,11,ENP,HAR,PETRO_SPORT,3
93,11,ZED,SMO,CAIRO_INTL,2
94,11,MAH,GOU,MAHALLA,3
95,11,AHL,PYR,CAIRO_INTL,1
96,11,PHA,MAS,BORG_ARAB,3
97,11,ISM,MOD,ISMAILIA_ST,2
98,11,TLG,CER,GEHAZ_REYADA,3
99,12,BNK,ZAM,CAIRO_INTL,1
100,12,ENP,PET,PETRO_SPORT,3
101,12,ZED,ITH,CAIRO_INTL,2
102,12,MAH,HAR,MAHALLA,3
103,12,SMO,AHL,BORG_ARAB,1
104,12,PHA,GOU,BORG_ARAB,3
105,12,PYR,ISM,30_JUNE,1
106,12,CER,MAS,SUEZ_CANAL,2
107,12,MOD,TLG,AL_SALAM,3
108,13,BNK,ENP,CAIRO_INTL,3
109,13,ZAM,ZED,CAIRO_INTL,1
110,13,PET,MAH,PETRO_SPORT,3
111,13,ITH,AHL,ALEX_STADIUM,1
112,13,HAR,PHA,HARAS,3
113,13,ISM,SMO,ISMAILIA_ST,2
114,13,GOU,CER,EL_GOUNA,3
115,13,TLG,PYR,GEHAZ_REYADA,2
116,13,MAS,MOD,SUEZ_ST,2
117,14,ZED,BNK,CAIRO_INTL,2
118,14,ENP,MAH,PETRO_SPORT,3
119,14,AHL,ZAM,CAIRO_INTL,1
120,14,PET,PHA,PETRO_SPORT,3
121,14,ISM,ITH,ISMAILIA_ST,2
122,14,HAR,CER,HARAS,3
123,14,SMO,TLG,BORG_ARAB,3
124,14,GOU,MOD,EL_GOUNA,3
125,14,MAS,PYR,SUEZ_ST,1
126,15,MAH,BNK,MAHALLA,3
127,15,AHL,ZED,CAIRO_INTL,1
128,15,PHA,ENP,BORG_ARAB,3
129,15,ZAM,ISM,CAIRO_INTL,1
130,15,CER,PET,SUEZ_CANAL,3
131,15,ITH,TLG,ALEX_STADIUM,3
132,15,MOD,HAR,AL_SALAM,3
133,15,SMO,MAS,BORG_ARAB,2
134,15,PYR,GOU,30_JUNE,2
135,16,BNK,AHL,CAIRO_INTL,1
136,16,MAH,PHA,MAHALLA,3
137,16,ISM,ZED,ISMAILIA_ST,2
138,16,ENP,CER,PETRO_SPORT,3
139,16,TLG,ZAM,GEHAZ_REYADA,2
140,16,PET,MOD,PETRO_SPORT,3
141,16,MAS,ITH,SUEZ_ST,2
142,16,HAR,PYR,HARAS,2
143,16,GOU,SMO,EL_GOUNA,3
144,17,PHA,BNK,BORG_ARAB,3
145,17,AHL,ISM,BORG_ARAB,1
146,17,CER,MAH,SUEZ_CANAL,3
147,17,ZED,TLG,CAIRO_INTL,3
148,17,MOD,ENP,AL_SALAM,3
149,17,ZAM,MAS,BORG_ARAB,1
150,17,PYR,PET,30_JUNE,2
151,17,ITH,GOU,ALEX_STADIUM,3
152,17,SMO,HAR,BORG_ARAB,3
153,18,BNK,ISM,CAIRO_INTL,2
154,18,PHA,CER,BORG_ARAB,3
155,18,TLG,AHL,GEHAZ_REYADA,2
156,18,MAH,MOD,MAHALLA,3
157,18,MAS,ZED,SUEZ_ST,2
158,18,ENP,PYR,PETRO_SPORT,2
159,18,GOU,ZAM,EL_GOUNA,2
160,18,PET,SMO,PETRO_SPORT,3
161,18,HAR,ITH,HARAS,3
162,19,CER,BNK,SUEZ_CANAL,2
163,19,ISM,TLG,ISMAILIA_ST,3
164,19,MOD,PHA,AL_SALAM,3
165,19,AHL,MAS,BORG_ARAB,1
166,19,PYR,MAH,30_JUNE,2
167,19,ZED,GOU,CAIRO_INTL,3
168,19,SMO,ENP,BORG_ARAB,3
169,19,ZAM,HAR,CAIRO_INTL,2
170,19,ITH,PET,ALEX_STADIUM,3
171,20,BNK,TLG,CAIRO_INTL,3
172,20,CER,MOD,SUEZ_CANAL,2
173,20,MAS,ISM,BORG_ARAB,2
174,20,PHA,PYR,BORG_ARAB,2
175,20,GOU,AHL,EL_GOUNA,2
176,20,MAH,SMO,MAHALLA,3
177,20,HAR,ZED,HARAS,3
178,20,ENP,ITH,PETRO_SPORT,3
179,20,ZAM,PET,CAIRO_INTL,2
180,21,BNK,MOD,CAIRO_INTL,2
181,21,TLG,MAS,GEHAZ_REYADA,3
