match_idx,round,home,away,round_window_start,round_window_end,round_window_slot_count,feasible_slot_count,caf_filter_relaxed_for_repair
0,1,ISM,BNK,2026-08-01,2026-08-05,15,837,False
1,1,CER,PHA,2026-08-01,2026-08-05,15,837,False
2,1,AHL,TLG,2026-08-01,2026-08-05,15,534,False
3,1,MOD,MAH,2026-08-01,2026-08-05,15,837,False
4,1,ZED,MAS,2026-08-01,2026-08-05,15,522,False
5,1,PYR,ENP,2026-08-01,2026-08-05,15,530,False
6,1,ZAM,GOU,2026-08-01,2026-08-05,15,525,False
7,1,SMO,PET,2026-08-01,2026-08-05,15,837,False
8,1,ITH,HAR,2026-08-01,2026-08-05,15,837,False
9,2,BNK,CER,2026-08-06,2026-08-10,15,837,False
10,2,TLG,ISM,2026-08-06,2026-08-10,15,837,False
11,2,PHA,MOD,2026-08-06,2026-08-10,15,837,False
12,2,MAS,AHL,2026-08-06,2026-08-10,15,502,False
13,2,MAH,PYR,2026-08-06,2026-08-10,15,530,False
14,2,GOU,ZED,2026-08-06,2026-08-10,15,837,False
15,2,ENP,SMO,2026-08-06,2026-08-10,15,837,False
16,2,HAR,ZAM,2026-08-06,2026-08-10,15,525,False
17,2,PET,ITH,2026-08-06,2026-08-10,15,837,False
18,3,TLG,BNK,2026-08-11,2026-08-15,15,837,False
19,3,MOD,CER,2026-08-11,2026-08-15,15,837,False
20,3,ISM,MAS,2026-08-11,2026-08-15,15,522,False
21,3,PYR,PHA,2026-08-11,2026-08-15,15,530,False
22,3,AHL,GOU,2026-08-11,2026-08-15,15,534,False
23,3,SMO,MAH,2026-08-11,2026-08-15,15,837,False
24,3,ZED,HAR,2026-08-11,2026-08-15,15,837,False
25,3,ITH,ENP,2026-08-11,2026-08-15,15,837,False
26,3,PET,ZAM,2026-08-11,2026-08-15,15,525,False
27,4,MOD,BNK,2026-08-16,2026-08-20,15,837,False
28,4,MAS,TLG,2026-08-16,2026-08-20,15,522,False
29,4,CER,PYR,2026-08-16,2026-08-20,15,530,False
30,4,GOU,ISM,2026-08-16,2026-08-20,15,837,False
