match_idx,round,home,away,date,caf_violated,violation_reason
0,1,ISM,BNK,2026-08-06,False,
1,1,CER,PHA,2026-08-05,False,
2,1,AHL,TLG,2026-08-05,False,
3,1,MOD,MAH,2026-08-06,False,
4,1,ZED,MAS,2026-08-08,False,
5,1,PYR,ENP,2026-08-02,False,
6,1,ZAM,GOU,2026-08-06,False,
7,1,SMO,PET,2026-08-03,False,
8,1,ITH,HAR,2026-08-04,False,
9,2,BNK,CER,2026-08-12,False,
10,2,TLG,ISM,2026-08-11,False,
11,2,PHA,MOD,2026-08-10,False,
12,2,MAS,AHL,2026-08-14,False,
13,2,MAH,PYR,2026-08-13,False,
14,2,GOU,ZED,2026-08-12,False,
15,2,ENP,SMO,2026-08-13,False,
16,2,HAR,ZAM,2026-08-10,False,
17,2,PET,ITH,2026-08-12,False,
18,3,TLG,BNK,2026-08-17,False,
19,3,MOD,CER,2026-08-19,False,
20,3,ISM,MAS,2026-08-19,False,
21,3,PYR,PHA,2026-08-19,False,
22,3,AHL,GOU,2026-08-21,False,
23,3,SMO,MAH,2026-08-18,False,
24,3,ZED,HAR,2026-08-17,False,
25,3,ITH,ENP,2026-08-18,False,
26,3,PET,ZAM,2026-08-17,False,
27,4,MOD,BNK,2026-08-24,False,
28,4,MAS,TLG,2026-08-24,False,
29,4,CER,PYR,2026-08-24,False,
30,4,GOU,ISM,2026-08-26,False,
31,4,PHA,SMO,2026-08-23,False,
32,4,HAR,AHL,2026-08-26,False,
33,4,MAH,ITH,2026-08-23,False,
34,4,ZED,PET,2026-08-26,False,
35,4,ZAM,ENP,2026-08-23,False,
36,5,BNK,MAS,2026-08-28,False,
37,5,PYR,MOD,2026-08-28,False,
38,5,GOU,TLG,2026-08-30,False,
39,5,SMO,CER,2026-08-31,False,
40,5,ISM,HAR,2026-08-30,False,
41,5,ITH,PHA,2026-08-27,False,
42,5,AHL,PET,2026-08-30,False,
43,5,ZAM,MAH,2026-08-27,False,
44,5,ENP,ZED,2026-08-31,False,
45,6,PYR,BNK,2026-09-01,False,
46,6,MAS,GOU,2026-09-11,False,
47,6,MOD,SMO,2026-09-15,False,
48,6,TLG,HAR,2026-09-13,False,
49,6,CER,ITH,2026-09-16,False,
50,6,PET,ISM,2026-09-17,False,
51,6,PHA,ZAM,2026-09-01,False,
52,6,ENP,AHL,2026-09-11,False,
53,6,ZED,MAH,2026-09-17,False,
54,7,BNK,GOU,2026-09-22,False,
55,7,SMO,PYR,2026-09-26,False,
56,7,HAR,MAS,2026-09-26,False,
57,7,ITH,MOD,2026-09-20,False,
58,7,TLG,PET,2026-09-21,False,
59,7,CER,ZAM,2026-09-25,False,
60,7,ISM,ENP,2026-09-21,False,
61,7,PHA,ZED,2026-09-24,False,
62,7,MAH,AHL,2026-09-26,False,
63,8,BNK,SMO,2026-10-04,False,
64,8,GOU,HAR,2026-10-05,False,
65,8,ITH,PYR,2026-10-04,False,
66,8,PET,MAS,2026-10-04,False,
67,8,ZAM,MOD,2026-10-06,False,
68,8,ENP,TLG,2026-10-06,False,
69,8,ZED,CER,2026-10-06,False,
70,8,ISM,MAH,2026-10-05,False,
71,8,AHL,PHA,2026-10-05,False,
72,9,HAR,BNK,2026-10-20,False,
73,9,SMO,ITH,2026-10-16,False,
74,9,PET,GOU,2026-10-17,False,
75,9,PYR,ZAM,2026-10-17,False,
76,9,MAS,ENP,2026-10-16,False,
77,9,MOD,ZED,2026-10-17,False,
78,9,MAH,TLG,2026-10-18,False,
79,9,AHL,CER,2026-10-16,False,
80,9,PHA,ISM,2026-10-18,False,
81,10,BNK,ITH,2026-10-24,False,
82,10,HAR,PET,2026-10-24,False,
83,10,ZAM,SMO,2026-10-23,False,
84,10,GOU,ENP,2026-10-21,False,
85,10,PYR,ZED,2026-10-23,False,
86,10,MAS,MAH,2026-10-22,False,
87,10,MOD,AHL,2026-10-24,False,
88,10,TLG,PHA,2026-10-22,False,
