Matchday,Date,Home Team,Away Team,Time,Stadium
1.Matchday,Mon 25/10/21,BNK,TLG,3:00 PM,CAIRO_INTL
1.Matchday,Mon 25/10/21,SMO,ITH,5:30 PM,BORG_ARAB
1.Matchday,Mon 25/10/21,MOD,PHA,8:00 PM,AL_SALAM
1.Matchday,Tue 26/10/21,MOK,EAS,3:00 PM,ARAB_CONT
1.Matchday,Tue 26/10/21,GOU,CER,5:30 PM,EL_GOUNA
1.Matchday,Tue 26/10/21,ZAM,ENP,8:00 PM,CAIRO_INTL
1.Matchday,Wed 27/10/21,PYR,MAK,5:30 PM,30_JUNE
1.Matchday,Wed 27/10/21,ISM,AHL,8:00 PM,ISMAILIA_ST
1.Matchday,Thu 28/10/21,MAH,MAS,5:30 PM,MAHALLA
2.Matchday,Sat 30/10/21,ITH,MOD,5:30 PM,ALEX_STADIUM
2.Matchday,Sat 30/10/21,ENP,MOK,8:00 PM,PETRO_SPORT
2.Matchday,Sun 31/10/21,CER,ISM,2:00 PM,SUEZ_CANAL
2.Matchday,Sun 31/10/21,MAK,GOU,Pending,CAIRO_INTL
2.Matchday,Sun 31/10/21,TLG,ZAM,4:30 PM,GEHAZ_REYADA
2.Matchday,Sun 31/10/21,PHA,PYR,Pending,BORG_ARAB
2.Matchday,Sun 31/10/21,AHL,BNK,7:00 PM,CAIRO_INTL
2.Matchday,Mon 01/11/21,MAS,SMO,4:30 PM,SUEZ_ST
2.Matchday,Mon 01/11/21,EAS,MAH,7:00 PM,PETRO_SPORT
3.Matchday,Thu 04/11/21,BNK,ISM,2:00 PM,CAIRO_INTL
3.Matchday,Thu 04/11/21,MAK,CER,Pending,CAIRO_INTL
3.Matchday,Thu 04/11/21,GOU,PHA,4:30 PM,EL_GOUNA
3.Matchday,Thu 04/11/21,MOK,TLG,Pending,ARAB_CONT
3.Matchday,Thu 04/11/21,PYR,ITH,7:00 PM,30_JUNE
3.Matchday,Fri 05/11/21,SMO,EAS,2:00 PM,BORG_ARAB
3.Matchday,Fri 05/11/21,MAH,ENP,4:30 PM,MAHALLA
3.Matchday,Fri 05/11/21,MOD,MAS,Pending,AL_SALAM
3.Matchday,Fri 05/11/21,ZAM,AHL,7:00 PM,CAIRO_INTL
4.Matchday,Thu 18/11/21,PHA,MAK,2:00 PM,BORG_ARAB
4.Matchday,Thu 18/11/21,EAS,MOD,4:30 PM,PETRO_SPORT
4.Matchday,Thu 18/11/21,CER,BNK,7:00 PM,SUEZ_CANAL
4.Matchday,Thu 18/11/21,ITH,GOU,Pending,ALEX_STADIUM
4.Matchday,Fri 19/11/21,TLG,MAH,2:00 PM,GEHAZ_REYADA
4.Matchday,Fri 19/11/21,MAS,PYR,Pending,SUEZ_ST
4.Matchday,Fri 19/11/21,ISM,ZAM,4:30 PM,ISMAILIA_ST
4.Matchday,Fri 19/11/21,ENP,SMO,Pending,PETRO_SPORT
4.Matchday,Fri 19/11/21,AHL,MOK,7:00 PM,CAIRO_INTL
5.Matchday,Sun 21/11/21,PHA,CER,4:30 PM,BORG_ARAB
5.Matchday,Sun 21/11/21,MAK,ITH,7:00 PM,CAIRO_INTL
5.Matchday,Mon 22/11/21,PYR,EAS,2:00 PM,30_JUNE
5.Matchday,Mon 22/11/21,MAH,AHL,4:30 PM,MAHALLA
5.Matchday,Mon 22/11/21,ZAM,BNK,7:00 PM,CAIRO_INTL
5.Matchday,Mon 22/11/21,GOU,MAS,Pending,EL_GOUNA
5.Matchday,Tue 23/11/21,MOK,ISM,4:30 PM,ARAB_CONT
5.Matchday,Tue 23/11/21,MOD,ENP,7:00 PM,AL_SALAM
5.Matchday,Sat 25/12/21,SMO,TLG,4:30 PM,BORG_ARAB
6.Matchday,Thu 25/11/21,ITH,PHA,2:00 PM,ALEX_STADIUM
6.Matchday,Thu 25/11/21,CER,ZAM,3:00 PM,SUEZ_CANAL
6.Matchday,Thu 25/11/21,AHL,SMO,Pending,CAIRO_INTL
6.Matchday,Fri 26/11/21,BNK,MOK,2:00 PM,CAIRO_INTL
6.Matchday,Fri 26/11/21,ISM,MAH,4:30 PM,ISMAILIA_ST
6.Matchday,Fri 26/11/21,TLG,MOD,7:00 PM,GEHAZ_REYADA
6.Matchday,Sat 27/11/21,EAS,GOU,4:30 PM,PETRO_SPORT
6.Matchday,Mon 13/12/21,MAS,MAK,4:30 PM,SUEZ_ST
6.Matchday,Sat 25/12/21,ENP,PYR,2:00 PM,PETRO_SPORT
7.Matchday,Mon 20/12/21,PHA,MAS,2:00 PM,BORG_ARAB
7.Matchday,Mon 20/12/21,MAH,BNK,4:30 PM,MAHALLA
7.Matchday,Mon 20/12/21,GOU,ENP,Pending,EL_GOUNA
7.Matchday,Mon 20/12/21,MAK,EAS,7:00 PM,CAIRO_INTL
7.Matchday,Mon 20/12/21,ITH,CER,Pending,ALEX_STADIUM
7.Matchday,Tue 21/12/21,SMO,ISM,2:00 PM,BORG_ARAB
7.Matchday,Tue 21/12/21,PYR,TLG,4:30 PM,30_JUNE
7.Matchday,Tue 21/12/21,MOK,ZAM,7:00 PM,ARAB_CONT
7.Matchday,Sun 26/12/21,MOD,AHL,7:00 PM,AL_SALAM
8.Matchday,Fri 24/12/21,CER,MOK,2:00 PM,SUEZ_CANAL
8.Matchday,Fri 24/12/21,EAS,PHA,4:30 PM,PETRO_SPORT
8.Matchday,Fri 24/12/21,MAS,ITH,7:00 PM,SUEZ_ST
8.Matchday,Sat 25/12/21,ZAM,MAH,7:00 PM,CAIRO_INTL
8.Matchday,Wed 09/02/22,ENP,MAK,4:30 PM,PETRO_SPORT
8.Matchday,Wed 09/02/22,TLG,GOU,7:00 PM,GEHAZ_REYADA
8.Matchday,Thu 10/02/22,BNK,SMO,4:30 PM,CAIRO_INTL
8.Matchday,Thu 10/02/22,ISM,MOD,7:00 PM,ISMAILIA_ST
8.Matchday,Tue 08/03/22,AHL,PYR,7:00 PM,CAIRO_INTL
9.Matchday,Mon 14/02/22,ITH,EAS,2:00 PM,ALEX_STADIUM
9.Matchday,Mon 14/02/22,MAK,TLG,4:30 PM,CAIRO_INTL
9.Matchday,Tue 15/02/22,MAH,MOK,2:00 PM,MAHALLA
9.Matchday,Tue 15/02/22,SMO,ZAM,4:30 PM,BORG_ARAB
9.Matchday,Wed 16/02/22,PHA,ENP,2:00 PM,BORG_ARAB
9.Matchday,Wed 16/02/22,PYR,ISM,4:30 PM,30_JUNE
9.Matchday,Wed 16/02/22,MOD,BNK,7:00 PM,AL_SALAM
9.Matchday,Thu 17/02/22,MAS,CER,4:30 PM,SUEZ_ST
9.Matchday,Tue 05/07/22,GOU,AHL,9:00 PM,EL_GOUNA
10.Matchday,Mon 21/02/22,MOK,SMO,4:30 PM,ARAB_CONT
10.Matchday,Mon 21/02/22,TLG,PHA,7:00 PM,GEHAZ_REYADA
10.Matchday,Tue 22/02/22,CER,MAH,2:00 PM,SUEZ_CANAL
10.Matchday,Tue 22/02/22,ENP,ITH,4:30 PM,PETRO_SPORT
10.Matchday,Tue 22/02/22,AHL,MAK,7:00 PM,CAIRO_INTL
10.Matchday,Wed 23/02/22,EAS,MAS,2:00 PM,PETRO_SPORT
10.Matchday,Wed 23/02/22,ISM,GOU,4:30 PM,ISMAILIA_ST
10.Matchday,Thu 24/02/22,BNK,PYR,4:30 PM,CAIRO_INTL
10.Matchday,Wed 02/03/22,ZAM,MOD,7:00 PM,CAIRO_INTL
11.Matchday,Fri 25/02/22,MOD,MOK,4:30 PM,AL_SALAM
11.Matchday,Sun 27/02/22,SMO,MAH,4:30 PM,BORG_ARAB
11.Matchday,Mon 28/02/22,EAS,CER,2:00 PM,PETRO_SPORT
11.Matchday,Mon 28/02/22,ITH,TLG,4:30 PM,ALEX_STADIUM
11.Matchday,Tue 01/03/22,GOU,BNK,2:00 PM,EL_GOUNA
11.Matchday,Tue 01/03/22,MAK,ISM,4:30 PM,CAIRO_INTL
11.Matchday,Tue 01/03/22,PHA,AHL,7:00 PM,BORG_ARAB
11.Matchday,Thu 03/03/22,MAS,ENP,2:00 PM,SUEZ_ST
11.Matchday,Wed 06/04/22,PYR,ZAM,9:30 PM,30_JUNE
12.Matchday,Fri 04/03/22,MOK,PYR,4:30 PM,ARAB_CONT
12.Matchday,Mon 07/03/22,BNK,MAK,2:00 PM,CAIRO_INTL
12.Matchday,Mon 07/03/22,ISM,PHA,4:30 PM,ISMAILIA_ST
12.Matchday,Mon 07/03/22,ZAM,GOU,7:00 PM,CAIRO_INTL
12.Matchday,Tue 08/03/22,ENP,EAS,2:00 PM,PETRO_SPORT
12.Matchday,Tue 08/03/22,CER,SMO,4:30 PM,SUEZ_CANAL
12.Matchday,Wed 09/03/22,MAH,MOD,2:00 PM,MAHALLA
12.Matchday,Wed 09/03/22,TLG,MAS,4:30 PM,GEHAZ_REYADA
12.Matchday,Wed 06/04/22,AHL,ITH,9:30 PM,CAIRO_INTL
13.Matchday,Tue 15/03/22,MOD,SMO,7:00 PM,AL_SALAM
13.Matchday,Wed 16/03/22,GOU,MOK,2:00 PM,EL_GOUNA
13.Matchday,Wed 16/03/22,ITH,ISM,4:30 PM,ALEX_STADIUM
13.Matchday,Wed 16/03/22,ENP,CER,7:00 PM,PETRO_SPORT
13.Matchday,Thu 17/03/22,PHA,BNK,2:00 PM,BORG_ARAB
13.Matchday,Thu 17/03/22,EAS,TLG,4:30 PM,PETRO_SPORT
13.Matchday,Sat 09/04/22,PYR,MAH,9:30 PM,30_JUNE
13.Matchday,Sat 09/04/22,MAS,AHL,Pending,SUEZ_ST
13.Matchday,Sat 09/04/22,MAK,ZAM,Pending,CAIRO_INTL
14.Matchday,Tue 12/04/22,ZAM,PHA,9:30 PM,CAIRO_INTL
14.Matchday,Thu 14/04/22,TLG,ENP,9:30 PM,GEHAZ_REYADA
14.Matchday,Thu 14/04/22,MOK,MAK,Pending,ARAB_CONT
14.Matchday,Thu 14/04/22,BNK,ITH,Pending,CAIRO_INTL
14.Matchday,Fri 15/04/22,CER,MOD,9:30 PM,SUEZ_CANAL
14.Matchday,Fri 15/04/22,MAH,GOU,Pending,MAHALLA
14.Matchday,Fri 06/05/22,ISM,MAS,6:30 PM,ISMAILIA_ST
14.Matchday,Fri 06/05/22,SMO,PYR,9:00 PM,BORG_ARAB
14.Matchday,Wed 15/06/22,AHL,EAS,9:00 PM,CAIRO_INTL
15.Matchday,Mon 18/04/22,EAS,ISM,9:30 PM,PETRO_SPORT
15.Matchday,Mon 18/04/22,PHA,MOK,Pending,BORG_ARAB
15.Matchday,Mon 18/04/22,MAK,MAH,Pending,CAIRO_INTL
15.Matchday,Tue 19/04/22,ITH,ZAM,9:30 PM,ALEX_STADIUM
15.Matchday,Tue 19/04/22,TLG,CER,Pending,GEHAZ_REYADA
15.Matchday,Wed 20/04/22,GOU,SMO,9:30 PM,EL_GOUNA
15.Matchday,Sat 21/05/22,ENP,AHL,9:00 PM,PETRO_SPORT
15.Matchday,Thu 26/05/22,MAS,BNK,6:30 PM,SUEZ_ST
15.Matchday,Thu 26/05/22,PYR,MOD,9:00 PM,30_JUNE
16.Matchday,Mon 25/04/22,MOD,GOU,9:30 PM,AL_SALAM
16.Matchday,Mon 25/04/22,SMO,MAK,Pending,BORG_ARAB
16.Matchday,Mon 25/04/22,MAH,PHA,Pending,MAHALLA
16.Matchday,Tue 26/04/22,MOK,ITH,9:30 PM,ARAB_CONT
16.Matchday,Tue 26/04/22,BNK,EAS,Pending,CAIRO_INTL
16.Matchday,Tue 26/04/22,ISM,ENP,Pending,ISMAILIA_ST
16.Matchday,Wed 27/04/22,AHL,TLG,9:30 PM,CAIRO_INTL
16.Matchday,Wed 27/04/22,PYR,CER,Pending,30_JUNE
16.Matchday,Thu 28/04/22,ZAM,MAS,9:30 PM,CAIRO_INTL
17.Matchday,Fri 29/04/22,MAK,MOD,9:30 PM,CAIRO_INTL
17.Matchday,Fri 29/04/22,PHA,SMO,Pending,BORG_ARAB
17.Matchday,Fri 29/04/22,ENP,BNK,Pending,PETRO_SPORT
17.Matchday,Sat 30/04/22,ITH,MAH,9:30 PM,ALEX_STADIUM
17.Matchday,Sat 30/04/22,CER,AHL,Pending,SUEZ_CANAL
17.Matchday,Sat 30/04/22,TLG,ISM,Pending,GEHAZ_REYADA
17.Matchday,Sun 01/05/22,EAS,ZAM,9:30 PM,PETRO_SPORT
17.Matchday,Sun 01/05/22,MAS,MOK,Pending,SUEZ_ST
17.Matchday,Sun 01/05/22,GOU,PYR,Pending,EL_GOUNA
18.Matchday,Mon 09/05/22,EAS,MOK,4:00 PM,PETRO_SPORT
18.Matchday,Mon 09/05/22,PHA,MOD,6:30 PM,BORG_ARAB
18.Matchday,Mon 09/05/22,TLG,BNK,9:00 PM,GEHAZ_REYADA
18.Matchday,Tue 10/05/22,CER,GOU,6:30 PM,SUEZ_CANAL
18.Matchday,Tue 10/05/22,ZAM,ENP,9:00 PM,CAIRO_INTL
18.Matchday,Wed 11/05/22,MAS,MAH,4:00 PM,SUEZ_ST
18.Matchday,Wed 11/05/22,ITH,SMO,6:30 PM,ALEX_STADIUM
18.Matchday,Wed 11/05/22,MAK,PYR,9:00 PM,CAIRO_INTL
18.Matchday,Sun 21/08/22,AHL,ISM,9:00 PM,CAIRO_INTL
19.Matchday,Sun 15/05/22,ISM,CER,4:00 PM,ISMAILIA_ST
19.Matchday,Sun 15/05/22,MOK,ENP,6:30 PM,ARAB_CONT
19.Matchday,Sun 15/05/22,PYR,PHA,9:00 PM,30_JUNE
19.Matchday,Mon 16/05/22,MAH,EAS,6:30 PM,MAHALLA
19.Matchday,Mon 16/05/22,SMO,MAS,9:00 PM,BORG_ARAB
19.Matchday,Tue 17/05/22,GOU,MAK,4:00 PM,EL_GOUNA
19.Matchday,Tue 17/05/22,MOD,ITH,6:30 PM,AL_SALAM
19.Matchday,Tue 17/05/22,ZAM,TLG,9:00 PM,CAIRO_INTL
19.Matchday,Wed 18/05/22,BNK,AHL,8:00 PM,CAIRO_INTL
20.Matchday,Sat 21/05/22,EAS,SMO,4:00 PM,PETRO_SPORT
20.Matchday,Sat 21/05/22,TLG,MOK,6:30 PM,GEHAZ_REYADA
20.Matchday,Sun 22/05/22,ISM,BNK,4:00 PM,ISMAILIA_ST
20.Matchday,Sun 22/05/22,MAS,MOD,6:30 PM,SUEZ_ST
20.Matchday,Sun 22/05/22,CER,MAK,Pending,SUEZ_CANAL
20.Matchday,Sun 22/05/22,ITH,PYR,9:00 PM,ALEX_STADIUM
20.Matchday,Mon 23/05/22,PHA,GOU,6:30 PM,BORG_ARAB
20.Matchday,Tue 24/05/22,ENP,MAH,6:30 PM,PETRO_SPORT
20.Matchday,Sun 19/06/22,AHL,ZAM,8:00 PM,CAIRO_INTL
21.Matchday,Fri 27/05/22,GOU,ITH,6:30 PM,EL_GOUNA
21.Matchday,Fri 27/05/22,MAK,PHA,9:00 PM,CAIRO_INTL
21.Matchday,Sat 28/05/22,MAH,TLG,4:00 PM,MAHALLA
21.Matchday,Sat 28/05/22,SMO,ENP,6:30 PM,BORG_ARAB
21.Matchday,Sat 28/05/22,ZAM,ISM,Pending,CAIRO_INTL
21.Matchday,Sun 29/05/22,MOD,EAS,4:00 PM,AL_SALAM
21.Matchday,Sun 29/05/22,PYR,MAS,6:30 PM,30_JUNE
21.Matchday,Mon 30/05/22,BNK,CER,6:30 PM,CAIRO_INTL
21.Matchday,Sat 30/07/22,MOK,AHL,9:00 PM,ARAB_CONT
22.Matchday,Fri 17/06/22,CER,PHA,7:00 PM,SUEZ_CANAL
22.Matchday,Fri 17/06/22,ISM,MOK,Pending,ISMAILIA_ST
