Matchday,Date,Home Team,Away Team,Time
1.Matchday,Tue 31/07/18,Ittihad Alex,El Mokawloon,6:00 PM
1.Matchday,Tue 31/07/18,Petrojet,Zamalek,9:00 PM
1.Matchday,Wed 01/08/18,El Dakhlia,Wadi Degla,4:00 PM
1.Matchday,Wed 01/08/18,Entag El Harby,Harras Hodoud,6:15 PM
1.Matchday,Wed 01/08/18,Nogoom FC,Talaea El Gaish,9:00 PM
1.Matchday,Thu 02/08/18,El Gouna,El Masry,6:00 PM
1.Matchday,Thu 02/08/18,Ahly SC,Ismaily,9:00 PM
1.Matchday,Fri 03/08/18,El Makasa,Smouha,6:00 PM
1.Matchday,Fri 03/08/18,Enppi SC,Pyramids FC,9:00 PM
2.Matchday,Sat 04/08/18,Zamalek,Ittihad Alex,8:00 PM
2.Matchday,Mon 06/08/18,Harras Hodoud,El Dakhlia,4:30 PM
2.Matchday,Mon 06/08/18,Ismaily,Petrojet,6:45 PM
2.Matchday,Mon 06/08/18,Wadi Degla,El Gouna,9:00 PM
2.Matchday,Tue 07/08/18,El Masry,Ahly SC,8:00 PM
2.Matchday,Wed 08/08/18,Pyramids FC,Entag El Harby,4:30 PM
2.Matchday,Wed 08/08/18,El Mokawloon,El Makasa,6:45 PM
2.Matchday,Wed 08/08/18,Smouha,Nogoom FC,Pending
2.Matchday,Wed 08/08/18,Talaea El Gaish,Enppi SC,9:00 PM
3.Matchday,Tue 14/08/18,El Dakhlia,Entag El Harby,4:00 PM
3.Matchday,Tue 14/08/18,El Gouna,Harras Hodoud,6:15 PM
3.Matchday,Tue 14/08/18,Enppi SC,Smouha,Pending
3.Matchday,Tue 14/08/18,Petrojet,El Masry,Pending
3.Matchday,Tue 14/08/18,Talaea El Gaish,Pyramids FC,9:00 PM
3.Matchday,Wed 15/08/18,Nogoom FC,El Mokawloon,8:00 PM
3.Matchday,Thu 16/08/18,El Makasa,Zamalek,9:00 PM
3.Matchday,Fri 17/08/18,Ittihad Alex,Ismaily,6:00 PM
