Date,Slot_rows,Slots_FIFA_flag,Slots_SuperCup_flag,Slots_Is_CAF_flag,Slots_league_eligible,Is_FIFA_union_date
2026-08-01,3,0,0,0,3,0
2026-08-02,3,0,3,0,0,0
2026-08-03,3,0,3,0,0,0
2026-08-04,3,0,3,0,0,0
2026-08-05,3,0,3,0,0,0
2026-08-06,3,0,0,0,3,0
2026-08-07,3,0,0,0,3,0
2026-08-08,3,0,0,0,3,0
2026-08-09,3,0,0,0,3,0
2026-08-10,3,0,0,0,3,0
2026-08-11,3,0,0,0,3,0
2026-08-12,3,0,0,0,3,0
2026-08-13,3,0,0,0,3,0
2026-08-14,3,0,0,0,3,0
2026-08-15,3,0,0,0,3,0
2026-08-16,3,0,0,0,3,0
2026-08-17,3,0,0,0,3,0
2026-08-18,3,0,0,0,3,0
2026-08-19,3,0,0,0,3,0
2026-08-20,3,0,0,0,3,0
2026-08-21,3,0,0,0,3,0
2026-08-22,3,0,0,0,3,0
2026-08-23,3,0,0,0,3,0
2026-08-24,3,0,0,0,3,0
2026-08-25,3,0,0,0,3,0
2026-08-26,3,0,0,0,3,0
2026-08-27,3,0,0,0,3,0
2026-08-28,3,0,0,0,3,0
2026-08-29,3,0,0,0,3,0
2026-08-30,3,0,0,0,3,0
2026-08-31,3,0,0,0,3,0
2026-09-01,3,0,0,0,3,0
2026-09-02,3,0,0,0,0,1
2026-09-03,3,0,0,0,0,1
2026-09-04,3,0,0,0,0,1
2026-09-05,3,0,0,0,0,1
2026-09-06,3,0,0,0,0,1
2026-09-07,3,0,0,0,0,1
2026-09-08,3,0,0,0,0,1
2026-09-09,3,0,0,0,0,1
2026-09-10,3,0,0,0,0,1
2026-09-11,3,0,0,0,3,0
2026-09-12,3,0,0,0,3,0
2026-09-13,3,0,0,3,3,0
2026-09-14,3,0,0,3,3,0
2026-09-15,3,0,0,3,3,0
2026-09-16,3,0,0,0,3,0
2026-09-17,3,0,0,0,3,0
2026-09-18,3,0,0,0,3,0
2026-09-19,3,0,0,0,3,0
2026-09-20,3,0,0,3,3,0
2026-09-21,3,3,0,3,0,1
2026-09-22,3,3,0,3,0,1
2026-09-23,3,3,0,0,0,1
2026-09-24,3,3,0,0,0,1
2026-09-25,3,3,0,0,0,1
2026-09-26,3,3,0,0,0,1
2026-09-27,3,3,0,0,0,1
2026-09-28,3,3,0,0,0,1
2026-09-29,3,3,0,0,0,1
2026-09-30,3,3,0,0,0,1
2026-10-01,3,3,0,0,0,1
2026-10-02,3,3,0,0,0,1
2026-10-03,3,3,0,0,0,1
2026-10-04,3,3,0,0,0,1
2026-10-05,3,3,0,0,0,1
2026-10-06,3,3,0,0,0,1
2026-10-07,3,0,0,0,0,1
2026-10-08,3,0,0,0,0,1
2026-10-09,3,0,0,0,0,1
2026-10-10,3,0,0,0,0,1
2026-10-11,3,0,0,0,0,1
2026-10-12,3,0,0,0,0,1
2026-10-13,3,0,0,0,0,1
2026-10-14,3,0,0,0,0,1
2026-10-15,3,0,0,0,0,1
