fixture_index,strict_feasible_slots,postponed_feasible_slots,relaxed_to_postpone
0,12,566,False
1,12,566,False
2,12,572,False
3,12,572,False
4,12,788,False
5,12,788,False
6,12,788,False
7,12,788,False
8,12,788,False
9,18,566,False
10,21,788,False
11,18,566,False
12,18,572,False
13,18,572,False
14,21,788,False
15,21,788,False
16,21,788,False
17,21,788,False
18,6,566,False
19,21,788,False
20,21,788,False
21,6,566,False
22,6,572,False
23,6,572,False
24,21,788,False
25,21,788,False
26,21,788,False
27,9,566,False
28,21,788,False
29,21,788,False
30,21,788,False
31,9,566,False
32,9,572,False
33,9,572,False
34,21,788,False
35,21,788,False
36,9,566,False
37,9,788,False
38,9,788,False
39,9,788,False
40,9,788,False
41,9,566,False
42,9,572,False
43,9,572,False
44,9,788,False
45,6,566,False
46,21,788,False
47,21,788,False
48,21,788,False
49,21,788,False
50,21,788,False
51,6,566,False
52,6,572,False
53,6,572,False
54,21,566,False
55,21,788,False
56,21,788,False
57,21,788,False
58,21,788,False
59,21,788,False
60,21,788,False
61,21,566,False
62,21,572,False
63,21,566,False
64,21,788,False
65,21,788,False
66,21,788,False
67,21,788,False
68,21,788,False
69,21,788,False
70,21,572,False
71,21,542,False
72,21,566,False
73,21,788,False
74,21,788,False
75,21,788,False
76,21,788,False
77,21,788,False
78,21,572,False
79,21,572,False
80,21,566,False
81,9,566,False
82,21,788,False
83,21,788,False
84,21,788,False
85,21,788,False
86,12,572,False
87,12,572,False
88,9,566,False
89,21,788,False
90,18,566,False
91,21,788,False
92,21,788,False
93,21,788,False
94,21,572,False
95,21,572,False
96,18,566,False
97,21,788,False
98,21,788,False
99,6,566,False
100,21,788,False
101,21,788,False
102,9,572,False
103,9,572,False
104,6,566,False
105,21,788,False
106,21,788,False
107,21,788,False
108,9,566,False
109,21,788,False
110,9,572,False
111,9,572,False
112,9,566,False
113,21,788,False
114,21,788,False
115,21,788,False
116,21,788,False
117,27,566,False
118,27,572,False
119,27,572,False
120,27,566,False
121,27,788,False
122,27,788,False
123,27,788,False
124,27,788,False
125,27,788,False
126,24,542,False
127,28,572,False
128,24,566,False
129,28,788,False
130,28,788,False
131,28,788,False
132,28,788,False
133,28,788,False
134,28,788,False
135,8,542,False
136,8,542,False
137,28,788,False
138,28,788,False
139,28,788,False
140,28,788,False
141,28,788,False
142,28,788,False
143,28,788,False
144,8,566,False
145,12,572,False
146,12,572,False
147,28,788,False
148,28,788,False
149,28,788,False
150,28,788,False
151,28,788,False
152,28,788,False
153,12,566,False
154,12,572,False
155,12,572,False
156,12,566,False
157,28,788,False
158,28,788,False
159,28,788,False
160,28,788,False
161,28,788,False
162,28,566,False
163,28,788,False
164,28,788,False
165,28,788,False
166,28,788,False
167,28,572,False
168,28,572,False
169,28,566,False
170,28,788,False
171,28,566,False
172,28,788,False
173,28,788,False
174,28,566,False
175,28,572,False
176,28,572,False
177,28,788,False
178,28,788,False
179,28,788,False
180,28,566,False
181,28,788,False
182,28,788,False
183,28,788,False
184,28,566,False
185,28,572,False
186,28,572,False
187,28,788,False
188,28,788,False
189,28,566,False
190,28,788,False
191,28,788,False
192,28,788,False
193,28,788,False
194,28,788,False
195,28,566,False
196,28,572,False
197,28,572,False
198,28,566,False
199,28,788,False
200,28,572,False
201,28,572,False
202,28,566,False
203,28,788,False
204,28,788,False
205,28,788,False
206,28,788,False
207,28,566,False
208,28,788,False
209,28,788,False
210,28,788,False
211,28,788,False
212,28,788,False
213,28,788,False
214,28,572,False
215,28,542,False
216,28,542,False
217,28,542,False
218,28,788,False
219,28,788,False
220,28,788,False
221,28,788,False
222,28,788,False
223,28,788,False
224,28,788,False
225,12,566,False
226,12,788,False
227,12,788,False
228,12,788,False
229,12,572,False
230,12,572,False
231,12,566,False
232,12,788,False
233,12,788,False
234,0,566,True
235,12,788,False
236,12,788,False
237,12,788,False
238,12,788,False
239,12,788,False
240,12,788,False
241,0,566,True
242,0,572,True
243,3,566,False
244,21,788,False
245,21,788,False
246,21,788,False
247,21,788,False
248,21,788,False
249,3,572,False
250,3,572,False
251,3,566,False
252,18,566,False
253,21,788,False
254,21,788,False
255,21,572,False
256,21,572,False
257,18,566,False
258,21,788,False
259,21,788,False
260,21,788,False
261,9,566,False
262,21,788,False
263,9,566,False
264,9,572,False
265,9,572,False
266,21,788,False
267,21,788,False
268,21,788,False
269,21,788,False
270,12,566,False
271,12,566,False
272,9,572,False
273,9,572,False
274,21,788,False
275,21,788,False
276,21,788,False
277,21,788,False
278,21,788,False
279,21,542,False
280,21,572,False
281,21,566,False
282,21,788,False
283,21,788,False
284,21,788,False
285,21,788,False
286,21,788,False
287,21,788,False
288,21,566,False
289,21,572,False
290,21,572,False
291,21,788,False
292,21,788,False
293,21,788,False
294,21,788,False
295,21,788,False
296,21,788,False
297,18,566,False
298,21,788,False
299,21,788,False
300,21,788,False
301,21,788,False
302,18,566,False
303,9,572,False
304,9,572,False
305,21,788,False
