Matchday,Date,Home Team,Away Team,Time,Stadium
1.Matchday,Tue 31/07/18,ITH,MOK,6:00 PM,ALEX_STADIUM
1.Matchday,Tue 31/07/18,PET,ZAM,9:00 PM,PETRO_SPORT
1.Matchday,Wed 01/08/18,DAK,DEG,4:00 PM,PETRO_SPORT
1.Matchday,Wed 01/08/18,ENT,HAR,6:15 PM,AL_SALAM
1.Matchday,Wed 01/08/18,NOG,TLG,9:00 PM,PETRO_SPORT
1.Matchday,Thu 02/08/18,GOU,MAS,6:00 PM,EL_GOUNA
1.Matchday,Thu 02/08/18,AHL,ISM,9:00 PM,CAIRO_INTL
1.Matchday,Fri 03/08/18,MAK,SMO,6:00 PM,CAIRO_INTL
1.Matchday,Fri 03/08/18,ENP,PYR,9:00 PM,PETRO_SPORT
2.Matchday,Sat 04/08/18,ZAM,ITH,8:00 PM,CAIRO_INTL
2.Matchday,Mon 06/08/18,HAR,DAK,4:30 PM,HARAS
2.Matchday,Mon 06/08/18,ISM,PET,6:45 PM,ISMAILIA_ST
2.Matchday,Mon 06/08/18,DEG,GOU,9:00 PM,PETRO_SPORT
2.Matchday,Tue 07/08/18,MAS,AHL,8:00 PM,SUEZ_ST
2.Matchday,Wed 08/08/18,PYR,ENT,4:30 PM,30_JUNE
2.Matchday,Wed 08/08/18,MOK,MAK,6:45 PM,ARAB_CONT
2.Matchday,Wed 08/08/18,SMO,NOG,Pending,BORG_ARAB
2.Matchday,Wed 08/08/18,TLG,ENP,9:00 PM,GEHAZ_REYADA
3.Matchday,Tue 14/08/18,DAK,ENT,4:00 PM,PETRO_SPORT
3.Matchday,Tue 14/08/18,GOU,HAR,6:15 PM,EL_GOUNA
3.Matchday,Tue 14/08/18,ENP,SMO,Pending,PETRO_SPORT
3.Matchday,Tue 14/08/18,PET,MAS,Pending,PETRO_SPORT
3.Matchday,Tue 14/08/18,TLG,PYR,9:00 PM,GEHAZ_REYADA
3.Matchday,Wed 15/08/18,NOG,MOK,8:00 PM,PETRO_SPORT
3.Matchday,Thu 16/08/18,MAK,ZAM,9:00 PM,CAIRO_INTL
3.Matchday,Fri 17/08/18,ITH,ISM,6:00 PM,ALEX_STADIUM
3.Matchday,Tue 21/08/18,AHL,DEG,8:00 PM,CAIRO_INTL
4.Matchday,Fri 10/08/18,DEG,PET,8:00 PM,PETRO_SPORT
4.Matchday,Fri 24/08/18,MOK,ENP,4:00 PM,ARAB_CONT
4.Matchday,Fri 24/08/18,ISM,MAK,6:15 PM,ISMAILIA_ST
