Matchday,Date,Home Team,Away Team,Time
1.Matchday,Mon 25/10/21,Bank El Ahly,Talaea El Gaish,3:00 PM
1.Matchday,Mon 25/10/21,Smouha,Ittihad Alex,5:30 PM
1.Matchday,Mon 25/10/21,Future FC,Pharco FC,8:00 PM
1.Matchday,Tue 26/10/21,El Mokawloon,Eastern Company,3:00 PM
1.Matchday,Tue 26/10/21,El Gouna,Cleopatra FC,5:30 PM
1.Matchday,Tue 26/10/21,Zamalek,Enppi SC,8:00 PM
1.Matchday,Wed 27/10/21,Pyramids FC,El Makasa,5:30 PM
1.Matchday,Wed 27/10/21,Ismaily,Ahly SC,8:00 PM
1.Matchday,Thu 28/10/21,El Mahalla,El Masry,5:30 PM
2.Matchday,Sat 30/10/21,Ittihad Alex,Future FC,5:30 PM
2.Matchday,Sat 30/10/21,Enppi SC,El Mokawloon,8:00 PM
2.Matchday,Sun 31/10/21,Cleopatra FC,Ismaily,2:00 PM
2.Matchday,Sun 31/10/21,El Makasa,El Gouna,Pending
2.Matchday,Sun 31/10/21,Talaea El Gaish,Zamalek,4:30 PM
2.Matchday,Sun 31/10/21,Pharco FC,Pyramids FC,Pending
2.Matchday,Sun 31/10/21,Ahly SC,Bank El Ahly,7:00 PM
2.Matchday,Mon 01/11/21,El Masry,Smouha,4:30 PM
2.Matchday,Mon 01/11/21,Eastern Company,El Mahalla,7:00 PM
3.Matchday,Thu 04/11/21,Bank El Ahly,Ismaily,2:00 PM
3.Matchday,Thu 04/11/21,El Makasa,Cleopatra FC,Pending
3.Matchday,Thu 04/11/21,El Gouna,Pharco FC,4:30 PM
3.Matchday,Thu 04/11/21,El Mokawloon,Talaea El Gaish,Pending
3.Matchday,Thu 04/11/21,Pyramids FC,Ittihad Alex,7:00 PM
3.Matchday,Fri 05/11/21,Smouha,Eastern Company,2:00 PM
3.Matchday,Fri 05/11/21,El Mahalla,Enppi SC,4:30 PM
3.Matchday,Fri 05/11/21,Future FC,El Masry,Pending
3.Matchday,Fri 05/11/21,Zamalek,Ahly SC,7:00 PM
4.Matchday,Thu 18/11/21,Pharco FC,El Makasa,2:00 PM
4.Matchday,Thu 18/11/21,Eastern Company,Future FC,4:30 PM
4.Matchday,Thu 18/11/21,Cleopatra FC,Bank El Ahly,7:00 PM
4.Matchday,Thu 18/11/21,Ittihad Alex,El Gouna,Pending
4.Matchday,Fri 19/11/21,Talaea El Gaish,El Mahalla,2:00 PM
4.Matchday,Fri 19/11/21,El Masry,Pyramids FC,Pending
4.Matchday,Fri 19/11/21,Ismaily,Zamalek,4:30 PM
4.Matchday,Fri 19/11/21,Enppi SC,Smouha,Pending
4.Matchday,Fri 19/11/21,Ahly SC,El Mokawloon,7:00 PM
5.Matchday,Sun 21/11/21,Pharco FC,Cleopatra FC,4:30 PM
5.Matchday,Sun 21/11/21,El Makasa,Ittihad Alex,7:00 PM
